"","Camp_name","perc_no_cop_strat","perc_stress","perc_crisis","perc_emergency","n"
"1","Al-Alam (all)",0,0.683333333333333,0.15,0.166666666666667,60
"2","Al-Kawthar Camp",0,0.925925925925926,0.0740740740740741,0,47
"3","Alwand 1",0.140625,0.557377049180328,0.0491803278688525,0.245901639344262,64
"4","Alwand 2",0.19047619047619,0.475409836065574,0.0491803278688525,0.278688524590164,63
"5","Amriyat Al-Fallujah Camp",0.0294117647058824,0.619047619047619,0.0238095238095238,0.30952380952381,68
"6","Arbat IDP",0.258620689655172,0.584905660377358,0.0377358490566038,0.0943396226415094,58
"7","As Salamyiah",0,0.550724637681159,0.159420289855072,0.289855072463768,71
"8","As Salamyiah Nimrud",0,0.590909090909091,0.166666666666667,0.242424242424242,66
"9","Ashti IDP",0.231884057971014,0.548387096774194,0.0645161290322581,0.129032258064516,69
"10","Baharka",0.217391304347826,0.537313432835821,0.104477611940299,0.134328358208955,69
"11","Bajed Kandala",0.0857142857142857,0.67741935483871,0.0483870967741935,0.17741935483871,70
"12","Basateen Al Sheuokh",0.0740740740740741,0.392156862745098,0.196078431372549,0.333333333333333,54
"13","Bersive 1",0.101449275362319,0.704918032786885,0.0819672131147541,0.0983606557377049,69
"14","Bersive 2",0.0714285714285714,0.738461538461539,0.0923076923076923,0.0923076923076923,70
"15","Chamishku",0.126760563380282,0.681818181818182,0.0909090909090909,0.0909090909090909,71
"16","Darkar",0.0769230769230769,0.644067796610169,0.169491525423729,0.101694915254237,65
"17","Dawoudia",0.107692307692308,0.711864406779661,0.0677966101694915,0.101694915254237,65
"18","Debaga 1",0.253521126760563,0.565217391304348,0.115942028985507,0.0579710144927536,71
"19","Essian",0.128571428571429,0.6,0.0923076923076923,0.169230769230769,70
"20","Habbaniya Tourist City camps",0.227272727272727,0.489795918367347,0.122448979591837,0.0816326530612245,66
"21","Haj Ali",0.0298507462686567,0.358208955223881,0.223880597014925,0.388059701492537,67
"22","Hamam Al Alil 1",0,0.537313432835821,0.194029850746269,0.26865671641791,67
"23","Hamam Al Alil 2",0,0.542857142857143,0.214285714285714,0.242857142857143,72
"24","Harshm",0.0701754385964912,0.72,0.14,0.06,57
"25","Hasansham U3",0.191176470588235,0.602941176470588,0.161764705882353,0.0441176470588235,68
"26","Hasansham_U2",0.164179104477612,0.666666666666667,0.0757575757575758,0.0909090909090909,67
"27","Kabarto 1",0.0571428571428571,0.734375,0.109375,0.09375,70
"28","Kabarto 2",0.101449275362319,0.75,0.0333333333333333,0.1,69
"29","Karamah",0,0.645161290322581,0.129032258064516,0.225806451612903,62
"30","Khanke",0.0845070422535211,0.691176470588235,0.0735294117647059,0.147058823529412,71
"31","Khazer M1",0.173913043478261,0.617647058823529,0.147058823529412,0.0588235294117647,69
"32","Laylan 2",0.253968253968254,0.362068965517241,0.172413793103448,0.189655172413793,63
"33","Laylan IDP (1)",0.23943661971831,0.461538461538462,0.123076923076923,0.153846153846154,71
"34","Mamilian",0.185185185185185,0.574074074074074,0.166666666666667,0.0740740740740741,54
"35","Mamrashan",0.27536231884058,0.521739130434783,0.144927536231884,0.0579710144927536,69
"36","Qayyarah-Jad'ah 1-2",0.0285714285714286,0.602941176470588,0.161764705882353,0.205882352941176,70
"37","Qayyarah-Jad'ah 3",0.0147058823529412,0.558823529411765,0.176470588235294,0.25,68
"38","Qayyarah-Jad'ah 4",0.0441176470588235,0.514705882352941,0.102941176470588,0.338235294117647,68
"39","Qayyarah-Jad'ah 5",0.0142857142857143,0.428571428571429,0.242857142857143,0.314285714285714,70
"40","Qayyarah-Jad'ah 6",0.0142857142857143,0.571428571428571,0.2,0.214285714285714,70
"41","Qayyarah Airstrip",0.025974025974026,0.473684210526316,0.105263157894737,0.394736842105263,77
"42","Qoratu",0.163934426229508,0.535714285714286,0.0357142857142857,0.25,61
"43","Rwanga Community",0.1,0.650793650793651,0.111111111111111,0.126984126984127,70
"44","Shariya",0.0422535211267606,0.8,0.0833333333333333,0.0666666666666667,71
"45","Sheikhan",0.0895522388059701,0.633333333333333,0.15,0.116666666666667,67
"46","Shooting Camp / Al Ahel",0.3,0.424242424242424,0.0303030303030303,0.0909090909090909,50
"47","Tazade",0.145161290322581,0.467741935483871,0,0.387096774193548,62
"48","Yahyawa",0.15,0.315789473684211,0.263157894736842,0.184210526315789,60
"49","Zayona",0.363636363636364,0.375,0,0.125,44
