"","Camp_name","perc_no_cop_strat","perc_stress","perc_crisis","perc_emergency","n"
"1","Al_Ahal_Shooting",0.122448979591837,0.448979591836735,0.244897959183673,0.183673469387755,49
"2","Al_Alam",0.0307692307692308,0.492307692307692,0.169230769230769,0.307692307692308,65
"3","Al_Amal",0.136363636363636,0.613636363636364,0.159090909090909,0.0909090909090909,44
"4","Al_Kawthar",0.0408163265306122,0.63265306122449,0.306122448979592,0.0204081632653061,49
"5","Al_Khalidiya",0.0701754385964912,0.526315789473684,0.298245614035088,0.105263157894737,57
"6","Al_Nabi_Younis",0.102564102564103,0.743589743589744,0.0769230769230769,0.0769230769230769,39
"7","Al_Sh'hamah",0.0232558139534884,0.302325581395349,0.209302325581395,0.465116279069767,43
"8","Alwand_1",0.538461538461538,0.276923076923077,0.153846153846154,0.0307692307692308,65
"9","Alwand_2",0.56140350877193,0.298245614035088,0.12280701754386,0.0175438596491228,57
"10","Amriyat_Al_Fallujah_Camp",0,0.838235294117647,0.102941176470588,0.0588235294117647,68
"11","Arbat_IDP",0.32258064516129,0.387096774193548,0.112903225806452,0.17741935483871,62
"12","As_Salamyiah",0,0.376811594202899,0.188405797101449,0.434782608695652,69
"13","As_Salamyiah_Nimrud",0.111111111111111,0.380952380952381,0.142857142857143,0.365079365079365,63
"14","Ashti_IDP",0.585714285714286,0.185714285714286,0.0285714285714286,0.2,70
"15","Baharka",0.194029850746269,0.611940298507463,0.0298507462686567,0.164179104477612,67
"16","Bajed_Kandala",0.072463768115942,0.652173913043478,0.0869565217391304,0.188405797101449,69
"17","Basateen_Al_Sheuokh",0.0754716981132075,0.358490566037736,0.226415094339623,0.339622641509434,53
"18","Bersive_1",0.231884057971014,0.565217391304348,0.0434782608695652,0.159420289855072,69
"19","Bersive_2",0.142857142857143,0.442857142857143,0.185714285714286,0.228571428571429,70
"20","Bezabize_Central_Camp",0.196969696969697,0.439393939393939,0.333333333333333,0.0303030303030303,66
"21","Chamishku",0.23943661971831,0.436619718309859,0.0985915492957746,0.225352112676056,71
"22","Darkar",0.257575757575758,0.5,0.0757575757575758,0.166666666666667,66
"23","Dawadia",0.106060606060606,0.545454545454545,0.166666666666667,0.181818181818182,66
"24","Debaga_1",0.376811594202899,0.434782608695652,0.0289855072463768,0.159420289855072,69
"25","Debaga_2",0.365384615384615,0.461538461538462,0.0384615384615385,0.134615384615385,52
"26","Essian",0.202898550724638,0.333333333333333,0.246376811594203,0.217391304347826,69
"27","Garmawa",0,0.823529411764706,0.0588235294117647,0.117647058823529,51
"28","Habbaniya_Tourist_City_(HTC)",0.0615384615384615,0.630769230769231,0.138461538461538,0.169230769230769,65
"29","Haj_Ali",0.0461538461538462,0.384615384615385,0.138461538461538,0.430769230769231,65
"30","Hamam_Al_Alil_1",0.0149253731343284,0.358208955223881,0.194029850746269,0.432835820895522,67
"31","Hamam_Al_Alil_2",0.126984126984127,0.46031746031746,0.142857142857143,0.26984126984127,63
"32","Harshm",0.23728813559322,0.491525423728814,0.0169491525423729,0.254237288135593,59
"33","Hasansham_U2",0.169230769230769,0.6,0.0769230769230769,0.153846153846154,65
"34","Hasansham_U3",0.119402985074627,0.686567164179104,0.0597014925373134,0.134328358208955,67
"35","Kabarto_1",0.197183098591549,0.507042253521127,0.154929577464789,0.140845070422535,71
"36","Kabarto_2",0.128571428571429,0.471428571428571,0.128571428571429,0.271428571428571,70
"37","Karamah",0.0576923076923077,0.423076923076923,0.173076923076923,0.346153846153846,52
"38","Khanke",0.197183098591549,0.591549295774648,0.0563380281690141,0.154929577464789,71
"39","Khazer_M1",0.0615384615384615,0.676923076923077,0.0153846153846154,0.246153846153846,65
"40","Kilo_18",0.126984126984127,0.571428571428571,0.111111111111111,0.19047619047619,63
"41","Laylan_2",0.3,0.35,0.0833333333333333,0.266666666666667,60
"42","Laylan_IDP",0.347826086956522,0.304347826086957,0.0434782608695652,0.304347826086957,69
"43","Mamilian",0.344262295081967,0.459016393442623,0,0.19672131147541,61
"44","Mamrashan",0.140845070422535,0.619718309859155,0.126760563380282,0.112676056338028,71
"45","Nazrawa",0.225806451612903,0.483870967741935,0.112903225806452,0.17741935483871,62
"46","Qayyarah_Airstrip",0,0.376811594202899,0.231884057971014,0.391304347826087,69
"47","Qayyarah_Jad'ah",0.0147058823529412,0.455882352941176,0.205882352941176,0.323529411764706,68
"48","Qoratu",0.5,0.346153846153846,0.115384615384615,0.0384615384615385,52
"49","Rwanga_Community",0.171428571428571,0.5,0.114285714285714,0.214285714285714,70
"50","Shariya",0.0704225352112676,0.464788732394366,0.126760563380282,0.338028169014085,71
"51","Sheikhan",0.166666666666667,0.651515151515151,0.0454545454545455,0.136363636363636,66
"52","Surdesh",0.403508771929825,0.491228070175439,0.0350877192982456,0.0701754385964912,57
"53","Tazade",0.454545454545455,0.4,0.109090909090909,0.0363636363636364,55
"54","Yahyawa",0.338461538461538,0.430769230769231,0.0307692307692308,0.2,65
"55","Zayona",0.238095238095238,0.5,0.19047619047619,0.0714285714285714,42
